date,channel,posts_sampled,impressions,reach,reactions,comments,shares,clicks
2026-07-06,facebook,20,35,0,0,0,0,2
2026-07-06,linkedin,20,1015,736,8,1,0,0
2026-07-06,bluesky,20,0,0,68,5,0,0
2026-07-21,facebook,20,96,0,0,0,0,0
2026-07-21,linkedin,20,887,625,8,2,0,0
2026-07-21,bluesky,20,0,0,62,5,0,0
2026-07-27,facebook,20,289,0,0,0,0,0
2026-07-27,linkedin,20,1372,977,9,2,0,0
2026-07-27,bluesky,20,0,0,53,6,0,0
2026-08-03,facebook,20,641,0,1,1,0,10
2026-08-03,linkedin,20,794,574,8,0,0,0
2026-08-03,bluesky,20,0,0,15,3,0,0
2026-08-10,facebook,20,918,0,1,1,0,10
2026-08-10,linkedin,20,1060,770,7,0,0,0
2026-08-10,bluesky,20,0,0,12,3,0,0
